"name","party","ytd_returns","2018","2019","2020","2021","2022"
"Brian Higgins","D","238.9","64000","56000","115000","115000","115000"
"Mark Green","R","122.2","30300000","30600000","30640000","35030000","62850000"
"Garret Graves","R","107.6","400000","466000","553000","585000","683000"
"David Rouzer","R","105.6","703000","682000","801000","900000","794000"
"Seth Moulton","D","80.0","1100000","2050000","4980000","4360000","5600000"
"Ron Wyden","D","78.5","7250000","9770000","17860000","16010000","13540000"
"John Rutherford","R","69.1","1670000","1710000","1670000","1600000","1130000"
"Richard Blumenthal","D","68.1","NA","NA","NA","NA","NA"
"Nancy Pelosi","D","65.5","155370000","164230000","175940000","240370000","189840000"
"Pete Sessions","R","63.3","NA","NA","7980000","8640000","9500000"
"Morgan McGravey","D","61.3","NA","NA","NA","NA","740000"
"Dan Sullivan","R","60.5","2850000","5860000","6360000","7160000","6450000"
"Susan Collins","R","55.5","4120000","4990000","5270000","5620000","5200000"
"Robert Aderholt","R","54","7120000","6950000","9980000","9390000","8910000"
"Suzan DelBene","D","53.7","72990000","96530000","123370000","134710000","144330000"
"Ed Case","D","53.2","2400000","2800000","3620000","4180000","3190000"
"Daniel Goldman","D","52.8","NA","NA","NA","NA","157300000"
"David Kustoff","R","50.3","1950000","2320000","2770000","6800000","6690000"
"Doug Lamborn","R","49","NA","NA","NA","NA","NA"
"Dan Newhouse","R","47.3","16950000","17430000","17610000","17880000","17270000"
"Jonathan Jackson","D","47","NA","NA","NA","NA","2120000"
"Deborah Ross","D","46.1","NA","NA","3490000","4990000","4360000"
"Sheldon Whitehouse","D","41.1","8190000","12380000","14530000","17630000","14250000"
"Markwayne Mullin","R","40.1","12130000","12180000","18620000","53610000","63080000"
"Dan Crenshaw","R","38.2","782000","1320000","1510000","960000","1340000"
"Daniel Meuser","R","36.3","15180000","35570000","34830000","39820000","33590000"
"Tina Smith","D","35.4","7150000","7170000","6840000","6420000","6170000"
"Kathy Manning","D","33.4","NA","NA","42640000","56590000","42520000"
"Chuck Fleischmann","R","28.3","NA","NA","NA","NA","NA"
"Mikie Sherril","D","25.9","2300000","3040000","4250000","7860000","8040000"
"Josh Gottheimer","D","25.4","9190000","10800000","28210000","50510000","32090000"
"John Curtis","R","25.3","13070000","13820000","15180000","17580000","18950000"
"SPY","SPY","24.8","273420000","258950000","325710000","381260000","441950000"
"Marjorie Greene","R","18.6","NA","NA","34460000","41330000","8960000"
"Mitch McConnell","R","18.1","34140000","35090000","37120000","43660000","38350000"
"Tommy Tuberville","R","17","NA","NA","8850000","11530000","9970000"
"Diana Harshbarger","R","14.7","NA","NA","NA","NA","NA"
"Ro Khanna","D","12.7","NA","NA","NA","NA","NA"
"Michael McCaul","R","11.2","NA","NA","NA","NA","NA"

